subid,looking_time_IDS,looking_time_ADS,age_days,child_gender,child_race_ethnicity,multilingual,CG_years_ed,child_N_sibs,CG_gender
1020,10.70725,11.754625,177,F,Caucasian,Y,20,1,F
1025,5.213625,7.449,232,M,Caucasian,N,16,1,F
1051,8.6925,7.64175,301,M,Caucasian,Y,22,0,F
1056,5.976,4.56425,212,M,Caucasian,N,17,0,F
1115,3.6428,6.6454,144,M,Caucasian,N,17,0,M
1164,8.873,8.020125,394,F,Caucasian,Y,17,0,F
1220,12.720875,8.05625,290,F,Caucasian,Y,16,0,F
1289,8.242,9.604875,177,M,Caucasian,Y,20,2,F
1327,7.331,6.199,446,M,Multiracial,N,16,0,F
1335,7.169125,7.838375,331,M,Caucasian,Y,18,1,F
1363,8.764125,5.983,222,M,Multiracial,Y,13,0,M
1399,3.105,4.399,303,M,Caucasian,N,17,0,F
1417,4.817,6.558625,266,M,,N,15,0,F
1460,7.602,5.958,359,F,Caucasian,Y,17,1,F
1470,11.849375,6.286,336,F,Caucasian,N,14,1,M
1524,4.038,5.746,185,M,American-Indian/Alaskan Native,N,13,3,F
1616,7.112,6.281,290,M,Caucasian,N,15,1,F
1696,16.31775,14.751375,182,F,Caucasian,N,18,0,F
1756,10.576375,9.267,278,M,Caucasian,N,18,1,F
1793,5.66025,6.318875,246,F,American-Indian/Alaskan Native,Y,13,0,F
1799,6.782,6.319,217,F,Caucasian,Y,12,0,F
1817,8.83475,7.0645,277,M,Multiracial,Y,18,0,F
1838,14.2966,11.3875,422,M,Caucasian,N,16,0,F
1896,10.6115,5.386,357,F,Caucasian,N,20,0,F
1934,10.285375,6.938375,167,M,Multiracial,Y,12,1,F
1937,5.967,7.428,330,F,Caucasian,Y,16,0,M
2065,7.302,5.954,273,M,Caucasian,N,15,0,F
2086,9.997125,9.835625,317,F,Caucasian,Y,19,2,F
2106,8.949,6.859,389,F,Caucasian,Y,16,0,F
2125,6.71,4.994,230,M,Caucasian,Y,17,1,F
2196,7.758875,4.225,446,F,Caucasian,N,18,0,M
2287,7.508875,5.43,264,M,Caucasian,N,17,0,F
2329,5.635,6.19925,264,F,Caucasian,N,18,1,F
2531,5.17425,4.267,167,M,Caucasian,Y,16,1,F
2566,7.13925,8.452625,174,F,Caucasian,N,16,0,F
2661,4.979,5.842,243,M,Caucasian,Y,12,3,F
2702,6.074875,5.968875,272,F,Caucasian,N,20,0,F
2739,12.21575,8.59,386,F,Caucasian,N,14,1,F
2920,11.89525,10.73825,185,M,American-Indian/Alaskan Native,N,13,3,F
2948,4.837,7.614625,290,M,Caucasian,N,15,1,F
2966,4.99,4.675,454,F,Caucasian,N,14,0,M
3004,6.880875,3.848625,436,M,Caucasian,Y,22,0,M
3022,5.934,8.58,264,M,Black,N,16,1,F
3052,6.494125,8.33,201,M,Caucasian,N,14,1,F
3092,10.29225,4.966,333,F,Caucasian,Y,20,1,F
3120,9.5315,6.629375,277,F,Caucasian,N,16,0,F
3137,5.627125,5.032,396,F,Multiracial,N,13,2,F
3560,9.788625,11.74725,232,F,Caucasian,Y,13,1,F
3645,7.544,5.663875,381,F,Caucasian,N,14,0,F
3656,3.907,2.817,315,F,Caucasian,N,17,1,F
3685,7.146,4.055,363,M,Caucasian,N,13,2,F
3780,9.791,5.402,330,F,Multiracial,Y,20,0,F
3886,6.642,7.039875,346,M,Caucasian,Y,16,0,F
3901,6.805428571,7.668,366,F,Caucasian,Y,18,0,F
3933,8.006,5.585,162,M,Caucasian,N,16,0,F
3949,12.690125,12.590375,165,M,Caucasian,Y,17,0,F
4016,6.8815,7.418875,250,M,Caucasian,N,13,1,F
4022,6.321,6.335,431,M,Caucasian,N,18,1,F
4041,6.554,8.476625,230,M,Caucasian,N,16,0,F
4042,6.464375,7.279875,263,M,Multiracial,Y,14,0,F
4048,4.665,6.386375,291,M,Multiracial,Y,14,0,M
4051,5.282,5.20275,147,F,Caucasian,Y,18,1,F
4065,8.677375,9.27175,208,M,Caucasian,N,17,0,F
4073,6.98975,5.733,168,M,Caucasian,Y,18,0,F
4080,8.026,6.30275,316,F,Caucasian,N,16,0,F
4161,11.461875,4.57925,295,F,Caucasian,N,14,0,F
4165,8.097,5.037,400,M,Caucasian,Y,12,0,F
4175,6.282625,5.9,239,F,Caucasian,N,16,2,F
4192,7.923625,5.485,402,F,Caucasian,Y,18,1,F
4204,4.608,6.085,215,M,Multiracial,Y,18,1,F
4226,12.06333333,9.03375,332,M,Caucasian,N,12,2,F
4229,9.94125,7.30875,281,F,Multiracial,Y,16,0,F
4233,8.048333333,7.616,306,F,Caucasian,N,16,4,F
4234,8.2425,7.70375,288,M,Caucasian,N,12,2,F
4239,11.066375,7.094375,215,F,Caucasian,N,15,0,F
4241,7.354,6.42,286,F,Caucasian,N,16,3,F
4243,12.6675,8.835,305,M,Caucasian,N,18,0,F
4246,5.60875,5.96625,350,M,Caucasian,Y,22,0,F
4249,3.32,2.58375,336,F,Caucasian,N,12,2,F
4250,12.0275,10.44375,314,M,Caucasian,Y,18,0,F
4251,6.7375,6.22375,283,M,Caucasian,N,16,0,F
4253,10.8975,5.945,324,F,Caucasian,N,16,2,F
4254,12.75375,10.025,314,F,Caucasian,N,18,1,F
4258,12.29846154,14.08214286,282,M,Caucasian,N,18,1,F
4262,9.0975,8.75625,327,M,Caucasian,N,16,4,F
4263,10.135,5.88375,284,M,Caucasian,N,18,1,F
4269,10.8,9.29,323,M,Caucasian,N,16,0,F
4272,11.6825,6.495,316,F,Asian,N,18,2,F
4282,10.98,10.95625,273,F,Caucasian,N,16,0,F
4293,11.465,7.7175,296,F,Caucasian,N,16,2,F
4294,13.2175,9.2325,277,M,Caucasian,N,12,0,F
4296,5.63875,4.89125,313,M,Caucasian,N,12,2,F
4297,7.8675,12.11125,291,M,Caucasian,N,16,1,F
4303,6.40125,8.255,279,F,Caucasian,N,22,2,F
4310,11.86125,13.23625,317,M,Caucasian,N,16,1,F
4311,11.02625,9.825,317,M,Caucasian,N,16,1,F
4316,7.653333333,9.632,278,F,Caucasian,N,18,2,F
4317,7.3875,4.56,317,F,Caucasian,Y,11,2,F
4318,9.53125,5.64875,355,F,Multiracial,N,16,1,F
4330,12.1825,10.16125,323,F,Caucasian,N,16,0,F
4334,11.54714286,3.795,357,F,Caucasian,N,18,0,F
4337,7.48125,6.5225,338,M,Multiracial,Y,16,1,F
4392,8.763,6.087,146,M,Caucasian,Y,16,1,F
4526,10.5445,7.96325,411,M,Multiracial,Y,14,0,F
4534,15.80975,11.0496,140,M,Caucasian,Y,16,0,F
4552,6.75,7.463125,157,M,Caucasian,N,18,1,F
4620,7.31,7.923375,234,M,Caucasian,N,14,4,F
4625,12.2345,8.956875,165,F,Caucasian,N,20,0,F
4718,6.996625,5.923,284,M,Caucasian,Y,16,1,F
4790,11.071375,8.262125,411,F,Caucasian,N,20,0,F
4854,10.84183333,9.160714286,240,F,Multiracial,Y,14,1,F
4901,6.566875,4.907,362,M,Caucasian,Y,14,1,F
ManyBabies001,4.038625,3.971,180,M,Caucasian,N,16,4,F
ManyBabies002,5.990125,5.075,183,F,Black,Y,16,0,F
ManyBabies003,8.313875,4.819625,179,F,Caucasian,N,16,0,M
ManyBabies004,5.9944,6.377666667,181,F,Caucasian,Y,21,0,F
ManyBabies006,6.14075,5.9235,171,M,Caucasian,N,18,0,F
ManyBabies007,6.361875,4.177625,133,M,Caucasian,N,19,0,F
ManyBabies008,4.892375,5.377125,169,M,Caucasian,N,18,1,F
ManyBabies012,5.223,6.68,96,F,Caucasian,N,16,0,M
ManyBabies014,13.415375,12.116625,101,F,Caucasian,N,18,1,M
ManyBabies015,0.151,0.159,150,M,Caucasian,N,16,0,F
ManyBabies017,13.314125,8.334625,403,F,Caucasian,N,16,2,F
ManyBabies018,1.598666667,4.313666667,431,F,Asian,Y,18,1,F
ManyBabies019,7.139833333,2.768,434,M,Multiracial,Y,16,0,F
ManyBabies020,6.3204,5.325,411,M,Caucasian,N,21,0,F
ManyBabies022,7.178333333,3.807333333,431,F,Caucasian,N,19,1,F
ManyBabies023,3.1945,3.0465,417,F,Caucasian,N,21,1,M
ManyBabies024,14.8665,8.4915,448,F,Caucasian,N,16,1,F
ManyBabies025,7.9238,7.937,380,M,Multiracial,Y,16,3,F
ManyBabies026,10.720875,8.978125,434,M,Caucasian,N,16,0,F
ManyBabies027,9.295714286,6.162833333,410,F,Multiracial,N,18,1,M
